scenario,run,window,n_gaps,median_gap_us,p99_gap_us,max_gap_us
S18_4g_neuralrx,1,7,2113,1.248,975.061,1014.549
S18_4g_neuralrx,1,8,2135,1.248,981.685,1012.725
S18_4g_neuralrx,1,9,2182,1.248,853.111,2228.68
S18_4g_neuralrx,2,0,15,22.527,68733.472,68733.472
S18_4g_neuralrx,2,1,12,377.211,116313.293,116313.293
S18_4g_neuralrx,2,2,11,45.279,75271.352,75271.352
S18_4g_neuralrx,2,3,2130,1.248,807.959,2111.592
S18_4g_neuralrx,2,4,2177,1.248,808.951,2227.975
S18_4g_neuralrx,2,5,2218,1.248,809.591,1264.594
S18_4g_neuralrx,2,6,2200,1.248,812.823,1228.083
S18_4g_neuralrx,2,7,2189,1.248,808.758,1088.243
S18_4g_neuralrx,2,8,2217,1.248,808.823,1077.236
S18_4g_neuralrx,2,9,2206,1.248,805.303,1088.627
S18_4g_neuralrx,3,0,15,22.784,70527.452,70527.452
S18_4g_neuralrx,3,1,12,392.539,113031.704,113031.704
S18_4g_neuralrx,3,2,14,109.791,76024.925,76024.925
S18_4g_neuralrx,3,3,2184,1.248,813.527,1397.456
S18_4g_neuralrx,3,4,2191,1.248,813.046,826.327
S18_4g_neuralrx,3,5,2193,1.248,813.591,1446.384
S18_4g_neuralrx,3,6,2186,1.248,813.271,1224.946
S18_4g_neuralrx,3,7,2190,1.248,814.519,1226.994
S18_4g_neuralrx,3,8,2184,1.248,808.151,1186.035
S18_4g_neuralrx,3,9,2206,1.248,811.286,1079.828
S21_4g_2sat,1,0,16,23.776,106821.887,106821.887
S21_4g_2sat,1,1,20,115.583,75577.667,75577.667
S21_4g_2sat,1,2,1487,1.279,945.813,71673.84
S21_4g_2sat,1,3,2472,1.248,943.061,1025.557
S21_4g_2sat,1,4,2564,1.28,826.647,1084.883
S21_4g_2sat,1,5,2482,1.28,940.437,1324.881
S21_4g_2sat,1,6,1002,1.28,2407.621,72891.05
S21_4g_2sat,1,7,2438,1.28,942.677,966.197
S21_4g_2sat,1,8,1936,1.248,945.653,36945.311
S21_4g_2sat,1,9,958,1.28,4153.873,36364.422
S21_4g_2sat,2,0,16,23.872,115417.515,115417.515
S21_4g_2sat,2,1,11,313.277,78647.04,78647.04
S21_4g_2sat,2,2,560,1.28,817.527,74646.763
S21_4g_2sat,2,3,2407,1.28,809.943,889.27
S21_4g_2sat,2,4,2393,1.28,815.383,1890.315
S21_4g_2sat,2,5,2383,1.28,808.951,892.439
S21_4g_2sat,2,6,2391,1.28,814.935,1159.06
S21_4g_2sat,2,7,2394,1.28,814.263,1322.225
S21_4g_2sat,2,8,1173,1.28,2369.414,21865.522
S21_4g_2sat,2,9,1647,1.28,812.375,93942.019
S21_4g_2sat,3,0,15,23.008,70160.918,70160.918
S21_4g_2sat,3,1,12,383.548,118716.625,118716.625
S21_4g_2sat,3,2,14,114.143,74643.621,74643.621
S21_4g_2sat,3,3,2167,1.248,818.744,1376.049
S21_4g_2sat,3,4,2192,1.248,815.639,871.511
S21_4g_2sat,3,5,2205,1.248,812.696,860.535
S21_4g_2sat,3,6,2196,1.248,811.223,884.183
S21_4g_2sat,3,7,2199,1.248,815.319,857.815
S21_4g_2sat,3,8,2184,1.248,807.255,910.422
S21_4g_2sat,3,9,2191,1.248,816.856,1010.87
S22_2g_neuralrx,1,0,16,22.208,114329.457,114329.457
S22_2g_neuralrx,1,1,21,97.183,80624.421,80624.421
S22_2g_neuralrx,1,2,1362,1.184,1398.512,96404.407
S22_2g_neuralrx,1,3,1691,1.184,1400.945,66992.696
S22_2g_neuralrx,1,4,1190,1.216,2472.549,38075.065
S22_2g_neuralrx,1,5,2204,1.184,1275.41,1795.244
S22_2g_neuralrx,1,6,2221,1.152,1395.536,3532.921
S22_2g_neuralrx,1,7,2209,1.184,1389.937,3128.381
S22_2g_neuralrx,1,8,2231,1.183,1397.68,1456.4
S22_2g_neuralrx,1,9,2230,1.12,1401.777,1736.685
S22_2g_neuralrx,2,0,16,23.936,120785.328,120785.328
S22_2g_neuralrx,2,1,21,98.431,78331.342,78331.342
S22_2g_neuralrx,2,2,1683,1.184,1398.161,74551.929
S22_2g_neuralrx,2,3,2273,1.184,1397.201,1702.412
S22_2g_neuralrx,2,4,2278,1.12,1394.32,1711.501
S22_2g_neuralrx,2,5,1162,1.184,1412.528,73401.76
S22_2g_neuralrx,2,6,2256,1.152,1397.585,1422.48
S22_2g_neuralrx,2,7,1479,1.216,1401.872,37992.242
S22_2g_neuralrx,2,8,1929,1.184,1473.135,3020.51
S22_2g_neuralrx,2,9,2278,1.184,1392.272,1690.636
S22_2g_neuralrx,3,0,20,23.551,109678.29,109678.29
S22_2g_neuralrx,3,1,32,108.959,74651.428,74651.428
S22_2g_neuralrx,3,2,2229,1.152,1568.014,1789.963
S22_2g_neuralrx,3,3,2312,1.184,1439.215,2166.375
S22_2g_neuralrx,3,4,1648,1.184,1586.286,26670.54
S22_2g_neuralrx,3,5,1494,1.184,1563.406,89846.416
S22_2g_neuralrx,3,6,2281,1.184,1473.199,1810.923
S22_2g_neuralrx,3,7,898,1.184,4884.648,38492.802
S22_2g_neuralrx,3,8,2195,1.184,1570.126,3676.31
S22_2g_neuralrx,3,9,2266,1.184,1565.87,2313.221
S24_3g_2sat,1,0,16,22.88,115297.547,115297.547
S24_3g_2sat,1,1,19,46.56,75452.833,75452.833
S24_3g_2sat,1,2,607,1.12,816.887,75896.86
S24_3g_2sat,1,3,2361,1.12,813.239,832.535
S24_3g_2sat,1,4,2213,1.12,809.624,2932.865
S24_3g_2sat,1,5,681,1.12,4941.388,39340.93
S24_3g_2sat,1,6,2160,1.12,818.2,4690.606
S24_3g_2sat,1,7,2439,1.088,809.496,2383.463
S24_3g_2sat,1,8,2434,1.12,805.783,875.126
S24_3g_2sat,1,9,2445,1.12,807.256,879.703
S24_3g_2sat,2,0,15,22.592,70531.826,70531.826
S24_3g_2sat,2,1,12,410.267,114924.687,114924.687
S24_3g_2sat,2,2,134,1.216,72217.096,77303.437
S24_3g_2sat,2,3,1974,1.12,821.688,2685.029
S24_3g_2sat,2,4,1994,1.088,818.872,5868.741
S24_3g_2sat,2,5,2240,1.12,813.431,1099.733
S24_3g_2sat,2,6,2251,1.12,812.824,828.056
S24_3g_2sat,2,7,2246,1.088,812.952,828.792
S24_3g_2sat,2,8,2255,1.088,814.456,828.952
S24_3g_2sat,2,9,2254,1.088,813.304,827.384
S24_3g_2sat,3,0,16,22.336,113896.992,113896.992
S24_3g_2sat,3,1,11,306.237,75302.704,75302.704
