workload,partition,mode,mean_ms,p99_ms,n_calls
xapp,4g,alone,0.12787717188236786,0.14028799533843994,201967
xapp,4g,alone,0.12680300703807262,0.13926400244235992,203818
forecaster,1g,with_l1,10.661575336748482,10.801152229309082,2807
forecaster,1g,with_l1,10.679989627563128,10.83801555633545,2802
forecaster,1g,with_l1,10.662689444430153,10.784768104553223,2807
forecaster,1g,with_l1,10.663180168067568,10.800127983093262,2806
forecaster,1g,with_l1,10.666344692277823,10.780672073364258,2805
forecaster,1g,alone,10.673774688628193,10.754048347473145,2804
forecaster,1g,alone,10.670071983473447,10.780672073364258,2804
forecaster,1g,alone,10.673171757545974,10.727423667907715,2803
forecaster,1g,alone,10.662428618071978,10.693632125854492,2807
forecaster,1g,alone,10.675145592555122,10.71615982055664,2803
forecaster,2g,with_l1,20.000576580796288,20.145151138305664,1498
forecaster,2g,with_l1,20.0204914566988,20.189184188842773,1497
forecaster,2g,with_l1,19.998823244835886,20.149248123168945,1498
forecaster,2g,with_l1,19.996102253542972,20.106239318847656,1499
forecaster,2g,with_l1,20.000222506605894,20.151296615600586,1498
forecaster,2g,alone,19.99219070648336,20.033536911010742,1499
forecaster,2g,alone,20.00502535306882,20.063232421875,1498
forecaster,2g,alone,19.997721969166783,20.04582405090332,1499
forecaster,2g,alone,20.0041633320746,20.05708885192871,1498
forecaster,2g,alone,19.994761316198918,20.04787254333496,1499
forecaster,3g,with_l1,41.462254951013385,41.60512161254883,724
forecaster,3g,with_l1,41.48627074097862,41.94508743286133,723
forecaster,3g,with_l1,41.48605418436095,41.67270278930664,723
forecaster,3g,with_l1,41.49182561555179,41.68191909790039,723
forecaster,3g,with_l1,41.496816722189244,41.73209762573242,723
forecaster,3g,alone,41.454541143132836,41.50067138671875,724
forecaster,3g,alone,41.45278592399471,41.48838424682617,724
forecaster,3g,alone,41.451726634199446,41.52729415893555,724
forecaster,3g,alone,41.45895810943941,41.55596923828125,724
forecaster,3g,alone,41.45591448156873,41.54982376098633,724
xapp,1g,with_l1,0.12853361408494712,0.158720001578331,202316
xapp,1g,with_l1,0.12571879111222872,0.15564799308776855,206608
xapp,1g,with_l1,0.12797424254347248,0.158720001578331,201106
