[bursty] e4_steady_N4_t1_c4 duration=90s kernels/burst=100 burst_int=100ms idle=0ms
[bursty] burst 2710: 3.37ms, total_kernels=542000
[bursty] burst 2720: 3.38ms, total_kernels=544000
[bursty] burst 2730: 3.39ms, total_kernels=546000
[bursty] burst 2740: 3.37ms, total_kernels=548000
[bursty] burst 2750: 3.40ms, total_kernels=550000
[bursty] burst 2760: 3.40ms, total_kernels=552000
[bursty] burst 2770: 3.39ms, total_kernels=554000
[bursty] burst 2780: 3.40ms, total_kernels=556000
[bursty] burst 2790: 3.39ms, total_kernels=558000
[bursty] burst 2800: 3.40ms, total_kernels=560000
[bursty] burst 2810: 3.39ms, total_kernels=562000
[bursty] burst 2820: 3.40ms, total_kernels=564000
[bursty] burst 2830: 3.38ms, total_kernels=566000
[bursty] burst 2840: 3.39ms, total_kernels=568000
[bursty] burst 2850: 3.39ms, total_kernels=570000
[bursty] burst 2860: 3.37ms, total_kernels=572000
[bursty] burst 2870: 3.39ms, total_kernels=574000
[bursty] burst 2880: 3.39ms, total_kernels=576000
[bursty] burst 2890: 3.40ms, total_kernels=578000
[bursty] burst 2900: 3.39ms, total_kernels=580000
[bursty] burst 2910: 3.39ms, total_kernels=582000
[bursty] burst 2920: 3.37ms, total_kernels=584000
[bursty] burst 2930: 3.38ms, total_kernels=586000
[bursty] burst 2940: 3.39ms, total_kernels=588000
[bursty] burst 2950: 3.39ms, total_kernels=590000
[bursty] burst 2960: 3.53ms, total_kernels=592000
[bursty] burst 2970: 3.39ms, total_kernels=594000
[bursty] burst 2980: 3.41ms, total_kernels=596000
[bursty] burst 2990: 3.40ms, total_kernels=598000
[bursty] burst 3000: 3.40ms, total_kernels=600000
[bursty] burst 3010: 3.39ms, total_kernels=602000
[bursty] burst 3020: 3.39ms, total_kernels=604000
[bursty] burst 3030: 3.38ms, total_kernels=606000
[bursty] burst 3040: 3.37ms, total_kernels=608000
[bursty] burst 3050: 3.40ms, total_kernels=610000
[bursty] burst 3060: 3.39ms, total_kernels=612000
[bursty] burst 3070: 3.39ms, total_kernels=614000
[bursty] burst 3080: 3.39ms, total_kernels=616000
[bursty] burst 3090: 3.40ms, total_kernels=618000
[bursty] burst 3100: 3.38ms, total_kernels=620000
[bursty] burst 3110: 3.38ms, total_kernels=622000
[bursty] burst 3120: 3.39ms, total_kernels=624000
[bursty] burst 3130: 3.38ms, total_kernels=626000
[bursty] burst 3140: 3.39ms, total_kernels=628000
[bursty] burst 3150: 3.37ms, total_kernels=630000
[bursty] burst 3160: 3.37ms, total_kernels=632000
[bursty] burst 3170: 3.38ms, total_kernels=634000
[bursty] burst 3180: 3.39ms, total_kernels=636000
[bursty] burst 3190: 3.39ms, total_kernels=638000
[bursty] burst 3200: 3.40ms, total_kernels=640000
[bursty] burst 3210: 3.40ms, total_kernels=642000
[bursty] burst 3220: 3.39ms, total_kernels=644000
[bursty] burst 3230: 3.39ms, total_kernels=646000
[bursty] burst 3240: 3.36ms, total_kernels=648000
[bursty] burst 3250: 3.36ms, total_kernels=650000
[bursty] burst 3260: 3.38ms, total_kernels=652000
[bursty] burst 3270: 3.38ms, total_kernels=654000
[bursty] burst 3280: 3.40ms, total_kernels=656000
[bursty] burst 3290: 3.38ms, total_kernels=658000
[bursty] burst 3300: 3.39ms, total_kernels=660000
[bursty] burst 3310: 3.38ms, total_kernels=662000
[bursty] burst 3320: 3.38ms, total_kernels=664000
[bursty] burst 3330: 3.40ms, total_kernels=666000
[bursty] burst 3340: 3.40ms, total_kernels=668000
[bursty] burst 3350: 3.38ms, total_kernels=670000
[bursty] burst 3360: 3.39ms, total_kernels=672000
[bursty] burst 3370: 3.39ms, total_kernels=674000
[bursty] burst 3380: 3.39ms, total_kernels=676000
[bursty] burst 3390: 3.39ms, total_kernels=678000
[bursty] burst 3400: 3.40ms, total_kernels=680000
[bursty] burst 3410: 3.39ms, total_kernels=682000
[bursty] burst 3420: 3.38ms, total_kernels=684000
[bursty] burst 3430: 3.39ms, total_kernels=686000
[bursty] burst 3440: 3.47ms, total_kernels=688000
[bursty] burst 3450: 3.38ms, total_kernels=690000
[bursty] burst 3460: 3.39ms, total_kernels=692000
[bursty] burst 3470: 3.39ms, total_kernels=694000
[bursty] burst 3480: 3.39ms, total_kernels=696000
[bursty] burst 3490: 3.37ms, total_kernels=698000
[bursty] burst 3500: 3.37ms, total_kernels=700000
[bursty] burst 3510: 3.39ms, total_kernels=702000
[bursty] burst 3520: 3.38ms, total_kernels=704000
[bursty] burst 3530: 3.39ms, total_kernels=706000
[bursty] burst 3540: 3.38ms, total_kernels=708000
[bursty] burst 3550: 3.38ms, total_kernels=710000
[bursty] burst 3560: 3.39ms, total_kernels=712000
[bursty] burst 3570: 3.39ms, total_kernels=714000
[bursty] burst 3580: 3.39ms, total_kernels=716000
[bursty] burst 3590: 3.37ms, total_kernels=718000
[bursty] burst 3600: 3.39ms, total_kernels=720000
[bursty] burst 3610: 3.38ms, total_kernels=722000
[bursty] burst 3620: 3.38ms, total_kernels=724000
[bursty] burst 3630: 3.36ms, total_kernels=726000
[bursty] burst 3640: 3.38ms, total_kernels=728000
[bursty] burst 3650: 3.36ms, total_kernels=730000
[bursty] burst 3660: 3.37ms, total_kernels=732000
[bursty] burst 3670: 3.38ms, total_kernels=734000
[bursty] burst 3680: 3.37ms, total_kernels=736000
[bursty] burst 3690: 3.37ms, total_kernels=738000
[bursty] burst 3700: 3.37ms, total_kernels=740000
[bursty] burst 3710: 3.38ms, total_kernels=742000
[bursty] burst 3720: 3.38ms, total_kernels=744000
[bursty] burst 3730: 3.37ms, total_kernels=746000
[bursty] burst 3740: 3.39ms, total_kernels=748000
[bursty] burst 3750: 3.37ms, total_kernels=750000
[bursty] burst 3760: 3.37ms, total_kernels=752000
[bursty] burst 3770: 3.38ms, total_kernels=754000
[bursty] burst 3780: 3.39ms, total_kernels=756000
[bursty] burst 3790: 3.37ms, total_kernels=758000
[bursty] burst 3800: 3.37ms, total_kernels=760000
[bursty] burst 3810: 3.38ms, total_kernels=762000
[bursty] burst 3820: 3.37ms, total_kernels=764000
[bursty] burst 3830: 3.37ms, total_kernels=766000
[bursty] burst 3840: 3.36ms, total_kernels=768000
[bursty] burst 3850: 3.37ms, total_kernels=770000
[bursty] burst 3860: 3.38ms, total_kernels=772000
[bursty] burst 3870: 3.39ms, total_kernels=774000
[bursty] burst 3880: 3.39ms, total_kernels=776000
[bursty] burst 3890: 3.39ms, total_kernels=778000
[bursty] burst 3900: 3.38ms, total_kernels=780000
[bursty] burst 3910: 3.37ms, total_kernels=782000
[bursty] burst 3920: 3.39ms, total_kernels=784000
[bursty] burst 3930: 3.37ms, total_kernels=786000
[bursty] burst 3940: 3.40ms, total_kernels=788000
[bursty] burst 3950: 3.37ms, total_kernels=790000
[bursty] burst 3960: 3.32ms, total_kernels=792000
[bursty] burst 3970: 3.31ms, total_kernels=794000
[bursty] burst 3980: 3.29ms, total_kernels=796000
[bursty] burst 3990: 3.38ms, total_kernels=798000
[bursty] burst 4000: 3.37ms, total_kernels=800000
[bursty] burst 4010: 3.38ms, total_kernels=802000
[bursty] burst 4020: 3.39ms, total_kernels=804000
[bursty] burst 4030: 3.37ms, total_kernels=806000
[bursty] burst 4040: 3.38ms, total_kernels=808000
[bursty] burst 4050: 3.35ms, total_kernels=810000
[bursty] burst 4060: 3.42ms, total_kernels=812000
[bursty] burst 4070: 3.28ms, total_kernels=814000
[bursty] burst 4080: 3.31ms, total_kernels=816000
[bursty] burst 4090: 3.30ms, total_kernels=818000
[bursty] burst 4100: 3.35ms, total_kernels=820000
[bursty] burst 4110: 3.33ms, total_kernels=822000
[bursty] burst 4120: 3.36ms, total_kernels=824000
[bursty] burst 4130: 3.33ms, total_kernels=826000
[bursty] burst 4140: 3.35ms, total_kernels=828000
[bursty] burst 4150: 3.35ms, total_kernels=830000
[bursty] burst 4160: 3.37ms, total_kernels=832000
[bursty] burst 4170: 3.37ms, total_kernels=834000
[bursty] burst 4180: 3.38ms, total_kernels=836000
[bursty] burst 4190: 3.38ms, total_kernels=838000
[bursty] burst 4200: 3.38ms, total_kernels=840000
[bursty] burst 4210: 3.36ms, total_kernels=842000
[bursty] burst 4220: 3.38ms, total_kernels=844000
[bursty] burst 4230: 4.43ms, total_kernels=846000
[bursty] burst 4240: 4.43ms, total_kernels=848000
[bursty] burst 4250: 3.35ms, total_kernels=850000
