condition,transition,count,p50_gap_us,p99_gap_us,max_gap_ms,mean_mem_us_inside,mean_mem_fraction
L1 4g + ChanPred,convert_kernel -> convert_kernel,6,69361.7,69772.7,69.8,31.3,0.0%
L1 4g + ChanPred,convert_kernel -> eq_coef,1,2258.5,2258.5,2.3,16.8,0.7%
L1 4g + ChanPred,convert_kernel -> noise_intf_est,5,956.9,1606.0,1.6,78.6,9.0%
L1 4g + ChanPred,copy_complex64 -> convert_kernel,4,578.2,1589.8,1.6,0.0,0.0%
L1 4g + ChanPred,copy_complex64 -> copy_complex64,4,639.1,1398.6,1.4,0.0,0.0%
L1 4g + ChanPred,convert_kernel -> ch_est_pre,1920,855.1,1016.6,1.2,738.5,89.3%
L1 4g + ChanPred,copy_float32 -> convert_kernel,1,892.2,892.2,0.9,0.0,0.0%
L1 4g + ChanPred,copy_float16 -> copy_complex64,1,745.6,745.6,0.7,0.0,0.0%
L1 4g + ResNet,convert_kernel -> copy_complex64,3,114923.6,115505.0,115.5,10.3,0.0%
L1 4g + ResNet,ch_est_filter -> copy_complex64,3,72656.1,75945.3,75.9,0.0,0.0%
L1 4g + ResNet,convert_kernel -> copy_float16,3,74504.0,74794.0,74.8,0.0,0.0%
L1 4g + ResNet,copy_complex64 -> copy_float32,7,70512.0,73741.4,73.7,0.0,0.0%
L1 4g + ResNet,convert_kernel -> convert_kernel,6,68292.3,71829.1,71.8,30.2,0.0%
L1 4g + ResNet,copy_float32 -> convert_kernel,1,2959.0,2959.0,3.0,0.0,0.0%
L1 4g + ResNet,copy_complex64 -> convert_kernel,4,602.7,2741.9,2.7,0.0,0.0%
L1 4g + ResNet,convert_kernel -> ch_est_pre,1920,687.9,950.2,1.8,667.6,89.1%
L1 4g + ResNet,convert_kernel -> noise_intf_est,1,579.5,579.5,0.6,61.0,10.5%
L1 2g + ChanPred,convert_kernel -> copy_complex64,3,119617.6,120639.5,120.6,9.7,0.0%
L1 2g + ChanPred,convert_kernel -> eq_coef,2,81317.8,81317.8,81.3,18.9,0.6%
L1 2g + ChanPred,convert_kernel -> copy_float16,3,79273.8,79522.8,79.5,0.0,0.0%
L1 2g + ChanPred,ch_est_filter -> copy_complex64,3,74195.5,75246.6,75.2,0.0,0.0%
L1 2g + ChanPred,copy_complex64 -> copy_float32,6,73290.9,73716.2,73.7,0.0,0.0%
L1 2g + ChanPred,convert_kernel -> convert_kernel,6,69000.1,71271.5,71.3,24.8,0.0%
L1 2g + ChanPred,copy_complex64 -> convert_kernel,8,615.5,2931.4,2.9,0.0,0.0%
L1 2g + ChanPred,copy_float32 -> convert_kernel,2,2371.0,2371.0,2.4,0.0,0.0%
L1 2g + ChanPred,convert_kernel -> ch_est_pre,1920,1273.1,1425.6,2.9,1220.7,93.6%
L1 2g + ChanPred,convert_kernel -> noise_intf_est,5,829.1,1258.2,1.3,105.9,12.0%
L1 2g + ChanPred,copy_float32 -> copy_complex64,1,817.2,817.2,0.8,0.0,0.0%
L1 2g + ChanPred,copy_complex64 -> copy_complex64,1,512.1,512.1,0.5,0.0,0.0%
